Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date,Year,Month,Gender,Units Purchased,Price per Unit (₹),Brand Name,Country,State
CeraVe,Sunscreen,760.44,3.2,3,Normal,46-55,Hyaluronic Acid,Vitamin C,Fine lines,2/19/2024,2024,February,Male,2,380.22,CeraVe,India,Delhi
Olay,Serum,2155.28,4.7,37,Normal,26-35,Vitamin C,Zinc Oxide,Dryness,6/7/2025,2025,June,Male,5,431.056,Olay,USA,Ohio
Fenty Beauty,Eye Cream,1672.63,5,199,Sensitive,26-35,Glycolic Acid,Salicylic Acid,Hyperpigmentation,4/13/2024,2024,April,Female,4,418.1575,Fenty Beauty,India,Delhi
Paula's Choice,Serum,2266.59,5,111,Dry,56+,Vitamin C,Alpha Arbutin,Dryness,3/29/2025,2025,March,Female,5,453.318,Paula's Choice,India,Delhi
Origins,Face Mask,766.09,3.9,16,Dry,18-25,Benzoyl Peroxide,Bakuchiol,Dullness,4/20/2025,2025,April,Female,4,191.5225,Origins,India,Delhi
CeraVe,Cleanser,826.3,3.9,82,Normal,56+,Alpha Arbutin,Hyaluronic Acid,Oiliness,8/7/2025,2025,August,Male,3,275.4333333,CeraVe,India,Delhi
Estee Lauder,Exfoliant,1609.69,3,37,Dry,46-55,Bakuchiol,Alpha Arbutin,Acne,7/28/2024,2024,July,Female,5,321.938,Estee Lauder,USA,New York
CeraVe,Exfoliant,1241.19,3.8,210,Combination,46-55,Hyaluronic Acid,Zinc Oxide,Dryness,10/12/2024,2024,October,Male,4,310.2975,CeraVe,India,Delhi
Youth to the People,Serum,2492.44,3.4,12,Oily,46-55,Hyaluronic Acid,Kojic Acid,Anti-aging,12/1/2023,2023,December,Male,3,830.8133333,Youth to the People,USA,Los Angeles
Aveeno,Eye Cream,2099.02,5,168,Combination,56+,Tea Tree Oil,Niacinamide,Dryness,9/18/2025,2025,September,Male,2,1049.51,Aveeno,India,Delhi
Olay,Cleanser,659.17,4.7,36,Sensitive,46-55,Peptides,Ceramides,Pores,7/30/2024,2024,July,Male,4,164.7925,Olay,USA,Ohio
CeraVe,Facial Oil,2277.11,4.3,13,Acne-prone,46-55,Lactic Acid,Bakuchiol,Dark spots,10/8/2023,2023,October,Male,2,1138.555,CeraVe,India,Delhi
La Roche-Posay,Night Cream,3592.02,5,86,Dry,18-25,Lactic Acid,Titanium Dioxide,Redness,1/6/2024,2024,January,Female,2,1796.01,La Roche-Posay,India,Delhi
Paula's Choice,Eye Cream,2730.54,4.3,24,Normal,18-25,Hyaluronic Acid,Vitamin C,Dullness,9/2/2025,2025,September,Female,1,2730.54,Paula's Choice,India,Delhi
The Ordinary,Face Mask,546.97,2.6,546,Oily,36-45,Hyaluronic Acid,Retinol,Dryness,5/4/2025,2025,May,Female,5,109.394,The Ordinary,Canada,Toronto
Estee Lauder,Moisturizer,1285.19,4.4,5,Acne-prone,36-45,Glycolic Acid,Salicylic Acid,Hyperpigmentation,7/9/2024,2024,July,Female,4,321.2975,Estee Lauder,USA,New York
Origins,Moisturizer,1248.89,3.4,17,Combination,56+,Niacinamide,Vitamin C,Oiliness,6/27/2025,2025,June,Female,2,624.445,Origins,India,Delhi
Paula's Choice,Serum,2445.16,4.5,68,Combination,56+,Zinc Oxide,Salicylic Acid,Fine lines,1/16/2025,2025,January,Male,1,2445.16,Paula's Choice,India,Delhi
Estee Lauder,Night Cream,3111.89,5,44,Combination,26-35,Glycolic Acid,Azelaic Acid,Dryness,6/30/2025,2025,June,Female,3,1037.296667,Estee Lauder,USA,New York
La Roche-Posay,Night Cream,1683.25,3.6,55,Dry,56+,Bakuchiol,Vitamin C,Dark spots,5/28/2025,2025,May,Female,4,420.8125,La Roche-Posay,India,Delhi
The Ordinary,Facial Oil,1050.55,3.6,310,Sensitive,18-25,Vitamin C,Hyaluronic Acid,Dark spots,5/6/2025,2025,May,Male,2,525.275,The Ordinary,Canada,Toronto
Fresh,Moisturizer,950.43,3.6,123,Acne-prone,36-45,Salicylic Acid,Lactic Acid,Hyperpigmentation,1/15/2024,2024,January,Female,5,190.086,Fresh,India,Delhi
Youth to the People,Sunscreen,718.11,3.8,146,Sensitive,36-45,Bakuchiol,Retinol,Fine lines,8/27/2024,2024,August,Male,1,718.11,Youth to the People,USA,Los Angeles
Youth to the People,Facial Oil,1626.58,4.7,39,Dry,56+,Squalane,Peptides,Redness,8/17/2024,2024,August,Female,2,813.29,Youth to the People,USA,Los Angeles
Origins,Eye Cream,3161.85,5,88,Oily,18-25,Squalane,Lactic Acid,Redness,3/3/2025,2025,March,Male,5,632.37,Origins,India,Delhi
Fenty Beauty,Exfoliant,1128.53,3,47,Combination,26-35,Squalane,Lactic Acid,Pores,8/12/2024,2024,August,Female,2,564.265,Fenty Beauty,India,Delhi
La Roche-Posay,Moisturizer,1799.25,5,15,Acne-prone,26-35,Titanium Dioxide,Ceramides,Acne,9/5/2024,2024,September,Female,4,449.8125,La Roche-Posay,India,Delhi
Clinique,Moisturizer,2200.2,5,39,Combination,18-25,Tea Tree Oil,Titanium Dioxide,Dryness,10/12/2024,2024,October,Male,4,550.05,Clinique,USA,Chicago
Aveeno,Serum,1231.08,4.5,36,Normal,36-45,Jojoba Oil,Niacinamide,Oiliness,5/19/2024,2024,May,Male,4,307.77,Aveeno,India,Delhi
Origins,Serum,1357.4,4.4,12,Normal,36-45,Squalane,Bakuchiol,Hyperpigmentation,10/17/2023,2023,October,Male,1,1357.4,Origins,India,Delhi
Drunk Elephant,Face Mask,1148.39,3.6,18,Oily,46-55,Vitamin C,Zinc Oxide,Dryness,10/17/2024,2024,October,Male,4,287.0975,Drunk Elephant,India,Delhi
Tatcha,Moisturizer,2249.58,4.5,8,Oily,36-45,Salicylic Acid,Azelaic Acid,Pores,10/28/2023,2023,October,Male,5,449.916,Tatcha,India,Delhi
The Ordinary,Exfoliant,2019.36,3.5,58,Sensitive,26-35,Ceramides,Hyaluronic Acid,Dullness,10/5/2023,2023,October,Male,2,1009.68,The Ordinary,Canada,Toronto
Glossier,Eye Cream,2243.3,5,96,Acne-prone,46-55,Peptides,Salicylic Acid,Hyperpigmentation,11/4/2023,2023,November,Male,3,747.7666667,Glossier,India,Delhi
The Ordinary,Night Cream,2406.81,4.7,18,Combination,46-55,Peptides,Titanium Dioxide,Hyperpigmentation,8/23/2025,2025,August,Male,5,481.362,The Ordinary,Canada,Toronto
Skinceuticals,Facial Oil,2437.83,5,12,Acne-prone,46-55,Squalane,Ceramides,Dullness,10/5/2024,2024,October,Female,5,487.566,Skinceuticals,India,Delhi
Paula's Choice,Serum,2021.9,3.8,52,Normal,36-45,Titanium Dioxide,Alpha Arbutin,Fine lines,9/13/2025,2025,September,Female,4,505.475,Paula's Choice,India,Delhi
CeraVe,Night Cream,1778.2,5,25,Dry,36-45,Tea Tree Oil,Titanium Dioxide,Sensitivity,10/26/2024,2024,October,Male,1,1778.2,CeraVe,India,Delhi
Clinique,Cleanser,914.9,3.5,49,Combination,56+,Benzoyl Peroxide,Glycolic Acid,Hyperpigmentation,1/24/2025,2025,January,Female,2,457.45,Clinique,USA,Chicago
Rare Beauty,Cleanser,877.6,3.2,71,Oily,46-55,Ceramides,Squalane,Sensitivity,1/10/2025,2025,January,Female,1,877.6,Rare Beauty,USA,California
Origins,Night Cream,2095.7,4.2,732,Acne-prone,46-55,Glycolic Acid,Alpha Arbutin,Dryness,10/19/2024,2024,October,Female,2,1047.85,Origins,India,Delhi
La Roche-Posay,Moisturizer,1083.6,3.4,90,Acne-prone,36-45,Zinc Oxide,Ceramides,Fine lines,1/14/2025,2025,January,Female,2,541.8,La Roche-Posay,India,Delhi
La Roche-Posay,Night Cream,1415.22,2.6,12,Combination,36-45,Titanium Dioxide,Kojic Acid,Uneven texture,7/3/2025,2025,July,Male,1,1415.22,La Roche-Posay,India,Delhi
Clinique,Facial Oil,3862.34,5,51,Sensitive,26-35,Azelaic Acid,Kojic Acid,Fine lines,2/6/2024,2024,February,Female,5,772.468,Clinique,USA,Chicago
Glossier,Eye Cream,2441.97,5,25,Oily,46-55,Niacinamide,Bakuchiol,Dryness,1/7/2025,2025,January,Male,2,1220.985,Glossier,India,Delhi
L'Oreal,Exfoliant,1610.45,5,6,Dry,18-25,Retinol,Peptides,Pores,8/6/2024,2024,August,Female,1,1610.45,L'Oreal,France,Paris
Origins,Night Cream,3446.66,5,20,Acne-prone,18-25,Hyaluronic Acid,Zinc Oxide,Acne,6/5/2024,2024,June,Female,2,1723.33,Origins,India,Delhi
Estee Lauder,Cleanser,957.34,4.2,4,Sensitive,36-45,Kojic Acid,Alpha Arbutin,Sensitivity,3/26/2024,2024,March,Female,3,319.1133333,Estee Lauder,USA,New York
Aveeno,Exfoliant,1258.76,2.8,8,Dry,46-55,Jojoba Oil,Retinol,Oiliness,3/9/2024,2024,March,Male,5,251.752,Aveeno,India,Delhi
Aveeno,Exfoliant,1176.25,4,94,Oily,46-55,Azelaic Acid,Bakuchiol,Acne,7/24/2024,2024,July,Female,4,294.0625,Aveeno,India,Delhi
Paula's Choice,Night Cream,2730.67,4.3,10,Combination,36-45,Hyaluronic Acid,Ceramides,Sensitivity,10/6/2024,2024,October,Male,2,1365.335,Paula's Choice,India,Delhi
Fenty Beauty,Exfoliant,1873.98,4.2,30,Oily,18-25,Lactic Acid,Jojoba Oil,Dullness,5/13/2024,2024,May,Female,3,624.66,Fenty Beauty,India,Delhi
Tatcha,Moisturizer,2822.24,5,83,Dry,18-25,Benzoyl Peroxide,Peptides,Hyperpigmentation,10/22/2024,2024,October,Male,4,705.56,Tatcha,India,Delhi
Youth to the People,Toner,1266.64,4,14,Dry,46-55,Benzoyl Peroxide,Tea Tree Oil,Oiliness,9/27/2023,2023,September,Female,4,316.66,Youth to the People,USA,Los Angeles
Tatcha,Serum,2127.4,2.8,404,Dry,18-25,Hyaluronic Acid,Vitamin C,Oiliness,8/6/2025,2025,August,Male,2,1063.7,Tatcha,India,Delhi
Aveeno,Eye Cream,1547.03,3.5,6,Combination,26-35,Alpha Arbutin,Peptides,Acne,5/4/2025,2025,May,Male,1,1547.03,Aveeno,India,Delhi
Drunk Elephant,Toner,1409.71,3.7,7,Acne-prone,56+,Glycolic Acid,Hyaluronic Acid,Dullness,4/15/2025,2025,April,Female,2,704.855,Drunk Elephant,India,Delhi
Estee Lauder,Exfoliant,2415.25,4.7,179,Dry,36-45,Ceramides,Azelaic Acid,Pores,11/19/2024,2024,November,Male,3,805.0833333,Estee Lauder,USA,New York
Neutrogena,Sunscreen,1495.87,4.8,14,Dry,36-45,Glycolic Acid,Retinol,Dark spots,10/29/2023,2023,October,Female,4,373.9675,Neutrogena,USA,Los Angeles
CeraVe,Moisturizer,954.94,4.3,109,Dry,46-55,Retinol,Kojic Acid,Dryness,10/18/2024,2024,October,Female,2,477.47,CeraVe,India,Delhi
Glossier,Eye Cream,1894.88,5,6,Acne-prone,26-35,Retinol,Peptides,Acne,5/25/2025,2025,May,Female,1,1894.88,Glossier,India,Delhi
Glossier,Night Cream,2095.61,4.7,122,Sensitive,26-35,Alpha Arbutin,Jojoba Oil,Anti-aging,1/11/2024,2024,January,Female,2,1047.805,Glossier,India,Delhi
Neutrogena,Serum,1965.64,4.3,26,Oily,26-35,Vitamin C,Lactic Acid,Dryness,11/29/2024,2024,November,Female,5,393.128,Neutrogena,USA,Los Angeles
Glossier,Night Cream,1439.7,3.8,115,Normal,46-55,Alpha Arbutin,Lactic Acid,Hyperpigmentation,12/27/2024,2024,December,Female,1,1439.7,Glossier,India,Delhi
Youth to the People,Eye Cream,2323.8,5,659,Oily,18-25,Niacinamide,Glycolic Acid,Hyperpigmentation,6/3/2025,2025,June,Female,3,774.6,Youth to the People,USA,Los Angeles
Rare Beauty,Sunscreen,1504.81,4.8,61,Combination,46-55,Lactic Acid,Hyaluronic Acid,Hyperpigmentation,11/22/2024,2024,November,Female,4,376.2025,Rare Beauty,USA,California
Aveeno,Facial Oil,1136.21,4.9,126,Dry,46-55,Tea Tree Oil,Salicylic Acid,Sensitivity,6/4/2024,2024,June,Female,2,568.105,Aveeno,India,Delhi
Fenty Beauty,Eye Cream,3154.25,5,20,Dry,56+,Alpha Arbutin,Lactic Acid,Pores,4/21/2024,2024,April,Female,1,3154.25,Fenty Beauty,India,Delhi
Fenty Beauty,Moisturizer,1805.69,4.6,50,Sensitive,26-35,Alpha Arbutin,Lactic Acid,Dryness,1/19/2025,2025,January,Female,5,361.138,Fenty Beauty,India,Delhi
Rare Beauty,Toner,1221.28,5,58,Dry,56+,Hyaluronic Acid,Titanium Dioxide,Pores,9/27/2024,2024,September,Male,1,1221.28,Rare Beauty,USA,California
Paula's Choice,Night Cream,1598.29,3.4,34,Combination,26-35,Glycolic Acid,Jojoba Oil,Hyperpigmentation,4/28/2025,2025,April,Male,5,319.658,Paula's Choice,India,Delhi
CeraVe,Night Cream,1626.51,4.8,24,Acne-prone,46-55,Jojoba Oil,Bakuchiol,Acne,11/1/2024,2024,November,Female,3,542.17,CeraVe,India,Delhi
Rare Beauty,Moisturizer,1440.62,3.5,344,Oily,18-25,Tea Tree Oil,Benzoyl Peroxide,Dullness,5/27/2024,2024,May,Female,4,360.155,Rare Beauty,USA,California
L'Oreal,Serum,2433.99,5,25,Dry,46-55,Retinol,Benzoyl Peroxide,Dullness,1/20/2025,2025,January,Female,3,811.33,L'Oreal,France,Paris
Fresh,Toner,1364.59,5,94,Sensitive,26-35,Vitamin C,Niacinamide,Pores,5/15/2025,2025,May,Female,2,682.295,Fresh,India,Delhi
Origins,Facial Oil,1291.82,5,203,Combination,46-55,Vitamin C,Niacinamide,Hyperpigmentation,1/6/2024,2024,January,Female,1,1291.82,Origins,India,Delhi
Drunk Elephant,Night Cream,5164.5,5,16,Normal,36-45,Azelaic Acid,Ceramides,Redness,7/15/2024,2024,July,Female,5,1032.9,Drunk Elephant,India,Delhi
Origins,Facial Oil,2046.75,5,129,Sensitive,46-55,Salicylic Acid,Kojic Acid,Oiliness,5/13/2024,2024,May,Female,5,409.35,Origins,India,Delhi
Aveeno,Face Mask,651.43,2.8,70,Oily,46-55,Bakuchiol,Jojoba Oil,Dullness,2/3/2025,2025,February,Female,1,651.43,Aveeno,India,Delhi
Origins,Night Cream,1525.67,4.5,28,Oily,26-35,Titanium Dioxide,Bakuchiol,Dryness,5/16/2025,2025,May,Male,1,1525.67,Origins,India,Delhi
Olay,Sunscreen,1157.47,4.5,41,Acne-prone,36-45,Benzoyl Peroxide,Titanium Dioxide,Uneven texture,5/6/2024,2024,May,Female,2,578.735,Olay,USA,Ohio
Olay,Facial Oil,2316.78,5,72,Sensitive,26-35,Titanium Dioxide,Jojoba Oil,Acne,4/9/2024,2024,April,Male,3,772.26,Olay,USA,Ohio
La Roche-Posay,Night Cream,2106.29,4.5,31,Combination,56+,Lactic Acid,Azelaic Acid,Dark spots,1/15/2025,2025,January,Female,5,421.258,La Roche-Posay,India,Delhi
Clinique,Cleanser,820.2,3.7,148,Acne-prone,18-25,Kojic Acid,Retinol,Fine lines,7/12/2024,2024,July,Female,2,410.1,Clinique,USA,Chicago
Clinique,Serum,3952.99,5,219,Normal,46-55,Ceramides,Lactic Acid,Redness,10/27/2023,2023,October,Male,3,1317.663333,Clinique,USA,Chicago
Fenty Beauty,Facial Oil,2255.04,4,8,Combination,18-25,Glycolic Acid,Bakuchiol,Fine lines,4/28/2024,2024,April,Female,2,1127.52,Fenty Beauty,India,Delhi
Glossier,Moisturizer,1436.42,4.6,7,Combination,26-35,Peptides,Alpha Arbutin,Dullness,10/25/2024,2024,October,Male,5,287.284,Glossier,India,Delhi
The Ordinary,Cleanser,688.21,3.9,10,Oily,56+,Kojic Acid,Lactic Acid,Fine lines,10/15/2024,2024,October,Female,1,688.21,The Ordinary,Canada,Toronto
Neutrogena,Exfoliant,1234.28,3.8,140,Normal,18-25,Salicylic Acid,Kojic Acid,Sensitivity,9/20/2023,2023,September,Female,1,1234.28,Neutrogena,USA,Los Angeles
Glossier,Face Mask,936.49,4.2,200,Combination,56+,Peptides,Vitamin C,Uneven texture,10/4/2024,2024,October,Male,3,312.1633333,Glossier,India,Delhi
Clinique,Facial Oil,3806.21,5,929,Oily,36-45,Tea Tree Oil,Titanium Dioxide,Uneven texture,3/31/2025,2025,March,Female,4,951.5525,Clinique,USA,Chicago
Skinceuticals,Toner,1035.64,3.1,21,Oily,36-45,Titanium Dioxide,Squalane,Pores,6/10/2025,2025,June,Male,3,345.2133333,Skinceuticals,India,Delhi
L'Oreal,Eye Cream,1701.35,5,853,Normal,36-45,Niacinamide,Tea Tree Oil,Dark spots,9/23/2024,2024,September,Female,4,425.3375,L'Oreal,France,Paris
Olay,Sunscreen,1500.7,4.8,99,Sensitive,18-25,Squalane,Alpha Arbutin,Redness,9/16/2025,2025,September,Male,2,750.35,Olay,USA,Ohio
CeraVe,Serum,2186.68,5,17,Dry,56+,Kojic Acid,Squalane,Dullness,2/24/2025,2025,February,Male,2,1093.34,CeraVe,India,Delhi
Kiehl's,Eye Cream,2412.32,5,54,Normal,18-25,Niacinamide,Hyaluronic Acid,Sensitivity,12/22/2024,2024,December,Female,5,482.464,Kiehl's,USA,New York
Kiehl's,Toner,2007.64,5,12,Oily,36-45,Jojoba Oil,Retinol,Redness,1/30/2024,2024,January,Female,4,501.91,Kiehl's,USA,New York
La Roche-Posay,Facial Oil,2444.47,4.8,5,Normal,18-25,Ceramides,Retinol,Uneven texture,3/14/2024,2024,March,Male,5,488.894,La Roche-Posay,India,Delhi
CeraVe,Exfoliant,953.08,3.2,45,Dry,46-55,Ceramides,Jojoba Oil,Dryness,10/3/2024,2024,October,Female,1,953.08,CeraVe,India,Delhi
Fenty Beauty,Toner,1350.41,4.4,38,Acne-prone,46-55,Vitamin C,Retinol,Hyperpigmentation,12/13/2023,2023,December,Female,4,337.6025,Fenty Beauty,India,Delhi
Drunk Elephant,Night Cream,3964.32,5,6,Normal,46-55,Tea Tree Oil,Azelaic Acid,Hyperpigmentation,6/1/2024,2024,June,Female,3,1321.44,Drunk Elephant,India,Delhi
Paula's Choice,Face Mask,554.06,2.9,26,Normal,56+,Tea Tree Oil,Bakuchiol,Pores,6/13/2024,2024,June,Male,1,554.06,Paula's Choice,India,Delhi
Drunk Elephant,Eye Cream,3964.42,5,64,Acne-prone,36-45,Squalane,Titanium Dioxide,Fine lines,5/4/2025,2025,May,Male,1,3964.42,Drunk Elephant,India,Delhi
Glossier,Toner,824.46,4.2,32,Combination,18-25,Lactic Acid,Niacinamide,Oiliness,3/16/2024,2024,March,Male,3,274.82,Glossier,India,Delhi
Origins,Facial Oil,1369.37,3.8,28,Sensitive,18-25,Zinc Oxide,Glycolic Acid,Fine lines,1/23/2024,2024,January,Male,1,1369.37,Origins,India,Delhi
Rare Beauty,Eye Cream,1718.45,3.2,7,Oily,18-25,Ceramides,Retinol,Sensitivity,3/29/2025,2025,March,Male,4,429.6125,Rare Beauty,USA,California
Tatcha,Night Cream,2864.23,4.6,15,Oily,18-25,Benzoyl Peroxide,Titanium Dioxide,Anti-aging,9/8/2025,2025,September,Male,5,572.846,Tatcha,India,Delhi
Fresh,Serum,2676.22,5,25,Normal,56+,Hyaluronic Acid,Glycolic Acid,Pores,6/24/2025,2025,June,Male,1,2676.22,Fresh,India,Delhi
Estee Lauder,Exfoliant,1687.15,4.1,3,Combination,18-25,Tea Tree Oil,Benzoyl Peroxide,Anti-aging,10/16/2023,2023,October,Male,4,421.7875,Estee Lauder,USA,New York
Estee Lauder,Night Cream,3301.55,4.6,463,Combination,56+,Lactic Acid,Titanium Dioxide,Anti-aging,8/16/2024,2024,August,Male,2,1650.775,Estee Lauder,USA,New York
Fenty Beauty,Face Mask,845.16,3.8,120,Oily,46-55,Kojic Acid,Tea Tree Oil,Hyperpigmentation,12/6/2024,2024,December,Female,4,211.29,Fenty Beauty,India,Delhi
Tatcha,Eye Cream,3027.13,5,35,Combination,18-25,Ceramides,Bakuchiol,Anti-aging,12/10/2024,2024,December,Male,5,605.426,Tatcha,India,Delhi
Fenty Beauty,Serum,1987.85,4.2,322,Oily,18-25,Hyaluronic Acid,Benzoyl Peroxide,Anti-aging,1/18/2024,2024,January,Female,4,496.9625,Fenty Beauty,India,Delhi
Fenty Beauty,Cleanser,530.21,2.5,37,Normal,26-35,Zinc Oxide,Niacinamide,Fine lines,8/19/2024,2024,August,Female,3,176.7366667,Fenty Beauty,India,Delhi
L'Oreal,Face Mask,718.51,3.8,445,Oily,18-25,Hyaluronic Acid,Lactic Acid,Acne,1/27/2025,2025,January,Female,5,143.702,L'Oreal,France,Paris
Kiehl's,Serum,1764.73,3.6,68,Acne-prone,56+,Peptides,Zinc Oxide,Uneven texture,8/28/2025,2025,August,Male,2,882.365,Kiehl's,USA,New York
Paula's Choice,Facial Oil,1249.32,3.8,19,Sensitive,56+,Hyaluronic Acid,Azelaic Acid,Dullness,9/20/2024,2024,September,Male,3,416.44,Paula's Choice,India,Delhi
Youth to the People,Serum,1923.37,5,14,Sensitive,26-35,Vitamin C,Azelaic Acid,Uneven texture,3/10/2024,2024,March,Male,4,480.8425,Youth to the People,USA,Los Angeles
Aveeno,Exfoliant,948.83,4.6,21,Normal,56+,Retinol,Vitamin C,Uneven texture,10/22/2024,2024,October,Male,5,189.766,Aveeno,India,Delhi
L'Oreal,Night Cream,2768.25,5,108,Combination,36-45,Salicylic Acid,Zinc Oxide,Hyperpigmentation,10/31/2023,2023,October,Female,2,1384.125,L'Oreal,France,Paris
Aveeno,Moisturizer,973.38,1.6,102,Dry,36-45,Ceramides,Jojoba Oil,Fine lines,6/26/2024,2024,June,Male,3,324.46,Aveeno,India,Delhi
Glossier,Cleanser,589.22,4,19,Normal,26-35,Hyaluronic Acid,Titanium Dioxide,Pores,8/17/2024,2024,August,Male,2,294.61,Glossier,India,Delhi
Kiehl's,Face Mask,1015.06,3.1,17,Normal,18-25,Titanium Dioxide,Squalane,Dryness,3/13/2025,2025,March,Male,4,253.765,Kiehl's,USA,New York
